,Date,Frequency,,
0,YYYY-06-DD,2,,
1,YYYY-06-DD,1,,
2,YYYY-06-DD,0,,
3,YYYY-06-DD,1,,
4,YYYY-06-DD,0,,
5,YYYY-06-DD,0,,
6,YYYY-06-DD,0,,
7,YYYY-06-DD,0,,
8,YYYY-06-DD,0,,
9,YYYY-06-DD,0,,
10,YYYY-06-DD,0,,
11,YYYY-06-DD,1,,
12,YYYY-06-DD,4,,
13,YYYY-06-DD,0,,
14,YYYY-06-DD,0,,
15,YYYY-06-DD,0,,
16,YYYY-06-DD,0,,
17,YYYY-06-DD,0,,
18,YYYY-07-DD,0,,
19,YYYY-07-DD,0,,
20,YYYY-07-DD,0,,
21,YYYY-07-DD,0,,
22,YYYY-07-DD,0,,
23,YYYY-07-DD,0,,
24,YYYY-07-DD,0,,
25,YYYY-07-DD,0,,
26,YYYY-07-DD,1,,
27,YYYY-07-DD,0,,
28,YYYY-07-DD,0,,
29,YYYY-07-DD,0,,
30,YYYY-07-DD,0,,
31,YYYY-07-DD,0,,
32,YYYY-07-DD,0,,
33,YYYY-07-DD,0,,
34,YYYY-07-DD,0,,
35,YYYY-07-DD,0,,
36,YYYY-07-DD,0,,
37,YYYY-07-DD,0,,
38,YYYY-07-DD,2,,
39,YYYY-07-DD,0,,
40,YYYY-07-DD,0,,
41,YYYY-07-DD,0,,
42,YYYY-07-DD,0,,
43,YYYY-07-DD,1,,
44,YYYY-07-DD,0,,
45,YYYY-07-DD,0,,
46,YYYY-07-DD,0,,
47,YYYY-07-DD,0,,
48,YYYY-07-DD,2,,
49,YYYY-08-DD,0,,
50,YYYY-08-DD,0,,
51,YYYY-08-DD,0,,
52,YYYY-08-DD,0,,
53,YYYY-08-DD,0,,
54,YYYY-08-DD,0,,
55,YYYY-08-DD,0,,
56,YYYY-08-DD,0,,
57,YYYY-08-DD,0,,
58,YYYY-08-DD,0,,
59,YYYY-08-DD,0,,
60,YYYY-08-DD,0,,
61,YYYY-08-DD,0,,
62,YYYY-08-DD,1,,
63,YYYY-08-DD,0,,
64,YYYY-08-DD,0,,
65,YYYY-08-DD,0,,
66,YYYY-08-DD,0,,
67,YYYY-08-DD,0,,
68,YYYY-08-DD,0,,
69,YYYY-08-DD,0,,
70,YYYY-08-DD,0,,
71,YYYY-08-DD,0,,
72,YYYY-08-DD,0,,
73,YYYY-08-DD,0,,
74,YYYY-08-DD,0,,
75,YYYY-08-DD,0,,
76,YYYY-08-DD,0,,
77,YYYY-08-DD,0,,
78,YYYY-08-DD,0,,
79,YYYY-08-DD,1,,
80,YYYY-09-DD,0,,
81,YYYY-09-DD,0,,
82,YYYY-09-DD,0,,
83,YYYY-09-DD,0,,
84,YYYY-09-DD,0,,
85,YYYY-09-DD,0,,
86,YYYY-09-DD,0,,
87,YYYY-09-DD,0,,
88,YYYY-09-DD,0,,
89,YYYY-09-DD,0,,
90,YYYY-09-DD,0,,
91,YYYY-09-DD,0,,
92,YYYY-09-DD,0,,
93,YYYY-09-DD,0,,
94,YYYY-09-DD,0,,
95,YYYY-09-DD,0,,
96,YYYY-09-DD,1,,
97,YYYY-09-DD,0,,
98,YYYY-09-DD,0,,
99,YYYY-09-DD,0,,
100,YYYY-09-DD,3,,
101,YYYY-09-DD,0,,
102,YYYY-09-DD,0,,
103,YYYY-09-DD,2,,
104,YYYY-09-DD,0,,
105,YYYY-09-DD,0,,
106,YYYY-09-DD,0,,
107,YYYY-09-DD,0,,
108,YYYY-09-DD,0,,
109,YYYY-09-DD,0,,
110,YYYY-10-DD,0,,
111,YYYY-10-DD,0,,
112,YYYY-10-DD,0,,
113,YYYY-10-DD,0,,
114,YYYY-10-DD,0,,
115,YYYY-10-DD,0,,
116,YYYY-10-DD,1,,
117,YYYY-10-DD,0,,
118,YYYY-10-DD,0,,
119,YYYY-10-DD,0,,
120,YYYY-10-DD,0,,
121,YYYY-10-DD,0,,
122,YYYY-10-DD,0,,
123,YYYY-10-DD,0,,
124,YYYY-10-DD,0,,
125,YYYY-10-DD,0,,
126,YYYY-10-DD,1,,
127,YYYY-10-DD,0,,
128,YYYY-10-DD,1,,
129,YYYY-10-DD,0,,
130,YYYY-10-DD,1,,
131,YYYY-10-DD,0,,
132,YYYY-10-DD,0,,
133,YYYY-10-DD,0,,
134,YYYY-10-DD,0,,
135,YYYY-10-DD,0,,
136,YYYY-10-DD,0,,
137,YYYY-10-DD,1,,
138,YYYY-10-DD,0,,
139,YYYY-10-DD,0,,
140,YYYY-10-DD,1,,
141,YYYY-11-DD,0,,
142,YYYY-11-DD,0,,
143,YYYY-11-DD,0,,
144,YYYY-11-DD,0,,
145,YYYY-11-DD,0,,
146,YYYY-11-DD,0,,
147,YYYY-11-DD,0,,
148,YYYY-11-DD,0,,
149,YYYY-11-DD,0,,
150,YYYY-11-DD,0,,
151,YYYY-11-DD,0,,
152,YYYY-11-DD,0,,
153,YYYY-11-DD,1,,
154,YYYY-11-DD,2,,
155,YYYY-11-DD,0,,
156,YYYY-11-DD,0,,
157,YYYY-11-DD,0,,
158,YYYY-11-DD,0,,
159,YYYY-11-DD,0,,
160,YYYY-11-DD,0,,
161,YYYY-11-DD,0,,
162,YYYY-11-DD,0,,
163,YYYY-11-DD,2,,
164,YYYY-11-DD,0,,
165,YYYY-11-DD,0,,
166,YYYY-11-DD,0,,
167,YYYY-11-DD,0,,
168,YYYY-11-DD,0,,
169,YYYY-11-DD,0,,
170,YYYY-11-DD,0,,
171,YYYY-12-DD,0,,
172,YYYY-12-DD,0,,
173,YYYY-12-DD,0,,
174,YYYY-12-DD,1,,
175,YYYY-12-DD,0,,
176,YYYY-12-DD,0,,
177,YYYY-12-DD,0,,
178,YYYY-12-DD,0,,
179,YYYY-12-DD,1,,
180,YYYY-12-DD,0,,
181,YYYY-12-DD,0,,
182,YYYY-12-DD,0,,
183,YYYY-12-DD,0,,
184,YYYY-12-DD,0,,
185,YYYY-12-DD,2,,
186,YYYY-12-DD,0,,
187,YYYY-12-DD,3,,
188,YYYY-12-DD,0,,
189,YYYY-12-DD,0,,
190,YYYY-12-DD,2,,
191,YYYY-12-DD,0,,
192,YYYY-12-DD,1,,
193,YYYY-12-DD,0,,
194,YYYY-12-DD,0,,
195,YYYY-12-DD,0,,
196,YYYY-12-DD,0,,
197,YYYY-12-DD,0,,
198,YYYY-12-DD,0,,
199,YYYY-12-DD,2,,
200,YYYY-12-DD,2,,
201,YYYY-12-DD,5,,
202,YYYY-01-DD,0,,
203,YYYY-01-DD,0,,
204,YYYY-01-DD,1,,
205,YYYY-01-DD,1,,
206,YYYY-01-DD,0,,
207,YYYY-01-DD,2,,
208,YYYY-01-DD,2,,
209,YYYY-01-DD,0,,
210,YYYY-01-DD,0,,
211,YYYY-01-DD,0,,
212,YYYY-01-DD,0,,
213,YYYY-01-DD,0,,
214,YYYY-01-DD,1,,
215,YYYY-01-DD,0,,
216,YYYY-01-DD,1,,
217,YYYY-01-DD,0,,
218,YYYY-01-DD,0,,
219,YYYY-01-DD,0,,
220,YYYY-01-DD,1,,
221,YYYY-01-DD,1,,
222,YYYY-01-DD,0,,
223,YYYY-01-DD,0,,
224,YYYY-01-DD,0,,
225,YYYY-01-DD,0,,
226,YYYY-01-DD,0,,
227,YYYY-01-DD,0,,
228,YYYY-01-DD,0,,
229,YYYY-01-DD,0,,
230,YYYY-01-DD,0,,
231,YYYY-01-DD,1,,
232,YYYY-01-DD,0,,
233,YYYY-02-DD,0,,
234,YYYY-02-DD,0,,
235,YYYY-02-DD,0,,
236,YYYY-02-DD,0,,
237,YYYY-02-DD,2,,
238,YYYY-02-DD,0,,
239,YYYY-02-DD,0,,
240,YYYY-02-DD,0,,
241,YYYY-02-DD,0,,
242,YYYY-02-DD,0,,
243,YYYY-02-DD,0,,
244,YYYY-02-DD,0,,
245,YYYY-02-DD,0,,
246,YYYY-02-DD,0,,
247,YYYY-02-DD,0,,
248,YYYY-02-DD,0,,
249,YYYY-02-DD,2,,
250,YYYY-02-DD,1,,
251,YYYY-02-DD,0,,
252,YYYY-02-DD,1,,
253,YYYY-02-DD,0,,
254,YYYY-02-DD,0,,
255,YYYY-02-DD,0,,
256,YYYY-02-DD,0,,
257,YYYY-02-DD,0,,
258,YYYY-02-DD,0,,
259,YYYY-02-DD,0,,
260,YYYY-02-DD,0,,
261,YYYY-03-DD,0,,
262,YYYY-03-DD,0,,
263,YYYY-03-DD,0,,
264,YYYY-03-DD,0,,
265,YYYY-03-DD,0,,
266,YYYY-03-DD,0,,
267,YYYY-03-DD,0,,
268,YYYY-03-DD,0,,
269,YYYY-03-DD,1,,
270,YYYY-03-DD,0,,
271,YYYY-03-DD,0,,
272,YYYY-03-DD,0,,
273,YYYY-03-DD,0,,
274,YYYY-03-DD,0,,
275,YYYY-03-DD,0,,
276,YYYY-03-DD,0,,
277,YYYY-03-DD,0,,
278,YYYY-03-DD,0,,
279,YYYY-03-DD,0,,
280,YYYY-03-DD,0,,
281,YYYY-03-DD,0,,
282,YYYY-03-DD,1,,
283,YYYY-03-DD,0,,
284,YYYY-03-DD,0,,
285,YYYY-03-DD,0,,
286,YYYY-03-DD,0,,
287,YYYY-03-DD,1,,
288,YYYY-03-DD,1,,
289,YYYY-03-DD,0,,
290,YYYY-03-DD,2,,
291,YYYY-03-DD,3,,
292,YYYY-04-DD,1,,
293,YYYY-04-DD,0,,
294,YYYY-04-DD,2,,
295,YYYY-04-DD,0,,
296,YYYY-04-DD,0,,
297,YYYY-04-DD,1,,
298,YYYY-04-DD,0,,
299,YYYY-04-DD,0,,
300,YYYY-04-DD,0,,
301,YYYY-04-DD,0,,
302,YYYY-04-DD,1,,
303,YYYY-04-DD,0,,
304,YYYY-04-DD,0,,
305,YYYY-04-DD,0,,
306,YYYY-04-DD,0,,
307,YYYY-04-DD,0,,
